county,year,population
Androscoggin,2020,111178
Androscoggin,2021,112733
Androscoggin,2022,113454
Androscoggin,2023,114477
Androscoggin,2024,115272
Aroostook,2020,67053
Aroostook,2021,67062
Aroostook,2022,67250
Aroostook,2023,67149
Aroostook,2024,66776
Cumberland,2020,303606
Cumberland,2021,306152
Cumberland,2022,309309
Cumberland,2023,311258
Cumberland,2024,313809
Franklin,2020,29468
Franklin,2021,30265
Franklin,2022,30604
Franklin,2023,30826
Franklin,2024,30902
Hancock,2020,55512
Hancock,2021,56362
Hancock,2022,56677
Hancock,2023,56801
Hancock,2024,56946
Kennebec,2020,124723
Kennebec,2021,125775
Kennebec,2022,127143
Kennebec,2023,127936
Kennebec,2024,128461
Knox,2020,40663
Knox,2021,41078
Knox,2022,41251
Knox,2023,41044
Knox,2024,40981
Lincoln,2020,35256
Lincoln,2021,36024
Lincoln,2022,36263
Lincoln,2023,36460
Lincoln,2024,36491
Oxford,2020,57892
Oxford,2021,58690
Oxford,2022,59539
Oxford,2023,60115
Oxford,2024,60039
Penobscot,2020,152179
Penobscot,2021,153383
Penobscot,2022,154817
Penobscot,2023,156329
Penobscot,2024,156840
Piscataquis,2020,16801
Piscataquis,2021,17211
Piscataquis,2022,17383
Piscataquis,2023,17486
Piscataquis,2024,17432
Sagadahoc,2020,36730
Sagadahoc,2021,37171
Sagadahoc,2022,37402
Sagadahoc,2023,37541
Sagadahoc,2024,37582
Somerset,2020,50473
Somerset,2021,50788
Somerset,2022,51027
Somerset,2023,51171
Somerset,2024,51338
Waldo,2020,39666
Waldo,2021,39974
Waldo,2022,40212
Waldo,2023,40490
Waldo,2024,40617
Washington,2020,31108
Washington,2021,31213
Washington,2022,31507
Washington,2023,31446
Washington,2024,31383
York,2020,212263
York,2021,215050
York,2022,217084
York,2023,219117
York,2024,220143
Maine,2020,1364571
Maine,2021,1378931
Maine,2022,1390922
Maine,2023,1399646
Maine,2024,1405012

